sdgs,"[1000.0, 63]"
member,"[0.007836362075063262, 103]"
matt,"[0.007816860170348397, 38]"
pay,"[0.0077869035965681165, 36]"
6,"[0.00776877886231105, 33]"
recent,"[0.007755914023538034, 94]"
group,"[0.007737707200492772, 92]"
25,"[0.007724259098974373, 39]"
sure,"[0.007722724565491183, 32]"
market,"[0.0077076973298169284, 44]"
30,"[0.007677441734690798, 60]"
experience,"[0.007673529781545696, 73]"
course,"[0.007670249872060279, 54]"
form,"[0.007635290954693499, 43]"
forward,"[0.007630211831396831, 75]"
medium,"[0.0075368717249133296, 46]"
low,"[0.007536269035481243, 121]"
3,"[0.007535018468231451, 57]"
clear,"[0.007529640260533244, 93]"
consider,"[0.007495859619690116, 43]"
despite,"[0.00749053339799663, 60]"
centre,"[0.007471232291889944, 54]"
serve,"[0.007442473617054924, 36]"
receive,"[0.007417284920208157, 52]"
hold,"[0.007415649163767786, 106]"
wrong,"[0.007393781460034617, 98]"
company,"[0.0073936216161971215, 50]"
break,"[0.007332831619413807, 47]"
current,"[0.00726382978330329, 86]"
happen,"[0.0072632968703549815, 58]"
compare,"[0.007254142323454919, 38]"
official,"[0.007252448851295253, 90]"
near,"[0.007251821498657434, 37]"
remain,"[0.007201315462782354, 79]"
5,"[0.007179184431737988, 55]"
mean,"[0.0071780262050671765, 122]"
order,"[0.0071624899629363845, 61]"
bring,"[0.007133867743841979, 129]"
person,"[0.00711820306271185, 39]"
deal,"[0.00708285221138039, 48]"
involve,"[0.007069742100942463, 61]"
figure,"[0.007027911813218687, 35]"
question,"[0.007019537743283661, 31]"
series,"[0.007005882362530779, 36]"
turn,"[0.006994508414511575, 58]"
seven,"[0.006984606846054742, 39]"
public,"[0.0069800574533348215, 94]"
short,"[0.006956693955371591, 41]"
news,"[0.006915462956084121, 84]"
sign,"[0.006900154747133309, 61]"
speak,"[0.006889320434881987, 70]"
half,"[0.006883709385314768, 81]"
lose,"[0.006882079047833224, 90]"
sense,"[0.006871000757080156, 36]"
win,"[0.006863234831090683, 33]"
man,"[0.00685556701580775, 48]"
expect,"[0.00684049104022573, 105]"
team,"[0.006833550578130567, 39]"
great,"[0.006814020898865445, 137]"
reason,"[0.006792696712025991, 36]"
high,"[0.0067765425070135206, 240]"
past,"[0.006750855067804735, 92]"
12,"[0.00667671424964386, 41]"
talk,"[0.006659758947301957, 49]"
move,"[0.006644605182282766, 59]"
add,"[0.006621079965348191, 241]"
far,"[0.0065841931697751864, 95]"
large,"[0.0065573990129212945, 135]"
let,"[0.006523059246643856, 41]"
lead,"[0.006512814733219844, 178]"
lot,"[0.00648990909720589, 45]"
line,"[0.006489336892511439, 66]"
fact,"[0.00646755885069219, 64]"
show,"[0.00646688319212174, 118]"
share,"[0.0064516320413048195, 78]"
away,"[0.0064289129576909024, 63]"
hear,"[0.006400235111182545, 45]"
follow,"[0.006380760713382463, 103]"
real,"[0.006370814414118334, 43]"
believe,"[0.006361356425692256, 46]"
call,"[0.006328803051868929, 206]"
base,"[0.006322658653737041, 121]"
history,"[0.006290614726291883, 35]"
work,"[0.0062375402280786954, 218]"
15,"[0.006217986531660683, 46]"
see,"[0.006201941703810567, 132]"
1,"[0.0061890884302464545, 42]"
$,"[0.006188089983801153, 112]"
begin,"[0.006151207419425595, 112]"
case,"[0.006139082958694732, 58]"
4,"[0.006095724192084042, 41]"
20,"[0.006089499616092027, 66]"
day,"[0.006044962904624205, 184]"
interest,"[0.006032295344638265, 31]"
allow,"[0.005958420718389605, 63]"
return,"[0.0059212205595511125, 40]"
make,"[0.005823983702220951, 129]"
hard,"[0.005752465686728262, 45]"
fall,"[0.005721102287093764, 58]"
set,"[0.005710066212577581, 124]"
place,"[0.0057055520062041865, 150]"
old,"[0.005692353668514562, 37]"
offer,"[0.0056796954440379325, 35]"
find,"[0.005679476456572128, 134]"
tell,"[0.005665182758362731, 161]"
new,"[0.005633057495304481, 329]"
close,"[0.00561737230557134, 98]"
way,"[0.00561701352687797, 189]"
include,"[0.0055979941050458525, 296]"
feel,"[0.005592583861892974, 50]"
10,"[0.0055898354599060954, 102]"
early,"[0.00549588680181385, 92]"
head,"[0.005491081314068292, 89]"
home,"[0.005473051195583163, 106]"
little,"[0.005470103695568161, 53]"
have,"[0.005441242548555414, 51]"
point,"[0.0053280850256560795, 119]"
big,"[0.005266484079744037, 108]"
think,"[0.005239759601669873, 63]"
run,"[0.005194977395526314, 66]"
open,"[0.005152231791395224, 81]"
end,"[0.005131985600992972, 148]"
month,"[0.005099886402492527, 103]"
well,"[0.0050885744691316825, 177]"
week,"[0.005086641444086007, 125]"
thing,"[0.005080839091920113, 55]"
leave,"[0.0049687277825452006, 115]"
ago,"[0.00496629975301051, 67]"
2,"[0.004944953068100616, 121]"
long,"[0.00493554960910868, 158]"
look,"[0.004886905984478783, 96]"
good,"[0.004795093902219281, 76]"
play,"[0.004636282062902847, 84]"
like,"[0.004633767968444937, 106]"
ask,"[0.0046140563295798305, 51]"
start,"[0.004548990010590916, 93]"
late,"[0.004505718883756076, 104]"
know,"[0.004491737802288782, 140]"
try,"[0.004484870853541622, 43]"
get,"[0.004464890176865534, 57]"
want,"[0.0044480699002083955, 69]"
give,"[0.0044230185054562445, 60]"
take,"[0.004379262857566049, 181]"
year,"[0.004058331122176017, 369]"
say,"[0.0037596137232971537, 436]"
go,"[0.003564401916187136, 98]"
come,"[0.003558677347484582, 198]"
time,"[0.003008847219849444, 252]"
>,"[1.2609725847400353e-06, 509]"
